name,rank,count
WEBER,290,106260
MARQUEZ,291,106054
BURTON,292,105987
FULLER,293,105864
ACOSTA,294,104841
PADILLA,295,104340
WELCH,296,103903
BANKS,297,103658
FIELDS,298,103194
LUCAS,299,102949
DAY,300,102775
GARRETT,301,102634
WALSH,302,101867
KHAN,303,101770
MAY,304,101571
PHAM,305,101083
LITTLE,306,101061
WALTERS,307,100790
DAVIDSON,308,100706
BOWMAN,309,100205
FIGUEROA,310,100117
SCHULTZ,311,99932
FOWLER,312,99260
BREWER,313,98650
HUANG,314,98330
JUAREZ,315,97719
MOLINA,316,97649
PEARSON,317,97562
WU,318,97527
HOLLAND,319,97501
SCHNEIDER,320,97428
NAVARRO,321,97262
CURTIS,322,97208
NEWMAN,323,97169
DOUGLAS,324,97078
BARRETT,325,96872
AVILA,326,96191
CORTEZ,327,95625
CAMPOS,328,94276
KELLER,329,94168
MIRANDA,330,93203
WADE,331,93102
HOPKINS,332,92924
BECK,333,91948
CHAMBERS,334,91795
STANLEY,335,91375
DELEON,336,91364
BARNETT,337,91163
AYALA,338,91108
BATES,339,91057
CALDWELL,340,90100
LOWE,341,89696
LAMBERT,342,89460
FRAZIER,343,88963
SCHWARTZ,344,88948
DURAN,345,88415
BYRD,346,88388
POWERS,347,88252
NEAL,348,87995
CRAIG,349,87675
FLEMING,350,86848
SUTTON,351,86836
LEONARD,352,86736
RHODES,353,86574
CARRILLO,354,86513
COHEN,355,86401
JENNINGS,356,86271
CABRERA,357,85945
MORAN,358,85840
SHELTON,359,85839
GREGORY,360,85781
WATTS,361,85754
LEON,362,85611
STEELE,363,85371
NORRIS,364,84956
MCDANIEL,365,84533
ALI,366,84529
BECKER,367,84525
PARKS,368,84327
BARKER,369,83987
VAUGHN,370,83826
LOVE,371,83691
TERRY,372,83406
CHANG,373,83382
LARA,374,83110
HALE,375,83103
HAYNES,376,83022
FUENTES,377,82907
BENSON,378,82707
MILES,379,82573
HOLT,380,82517
MANN,381,82479
ZIMMERMAN,382,82459
LYONS,383,81507
CHAN,384,81431
ROBLES,385,81059
DAWSON,386,80960
HORTON,387,80807
WOLFE,388,80540
GRAVES,389,80533
SALINAS,390,80378
MCKINNEY,391,80343
SOLIS,392,80233
BUSH,393,80122
WARNER,394,80118
MCCARTHY,395,80108
PAUL,396,80097
FLETCHER,397,79835
KLEIN,398,79552
REEVES,399,79326
PAGE,400,79314
RIVAS,401,78862
ERICKSON,402,78808
SIMON,403,78701
CERVANTES,404,78517
VELASQUEZ,405,78234
FRANCIS,406,78198
DANIEL,407,78123
OCHOA,408,77931
HARDY,409,77922
THORNTON,410,77910
BALDWIN,411,77881
PACHECO,412,76943
SHAH,413,76855
AGUIRRE,414,76796
CALDERON,415,76428
OCONNOR,416,76316
DELACRUZ,417,76225
CUMMINGS,418,76172
SERRANO,419,76051
BALL,420,76008
CARDENAS,421,75996
HIGGINS,422,75781
BOWEN,423,75672
GILL,424,75535
GRIFFITH,425,75478
SHARP,426,75463
ROBBINS,427,75400
BLAIR,428,75384
QUINN,429,75251
BARBER,430,75161
KAUR,431,75046
CROSS,432,75035
ROSALES,433,74769
RAMSEY,434,74666
CHRISTENSEN,435,74664
MOSS,436,74470
AHMED,437,74458
DENNIS,438,74379
SWANSON,439,74015
CHANDLER,440,73879
RODGERS,441,73646
FITZGERALD,442,72557
CURRY,443,72444
